,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
alprenolol-3188,alprenolol-3188,0.0605,0.2689868804664723,-1.1853936653164048,100.0,0.0,neg,pos
alprenolol-6789,alprenolol-6789,0.1845,0.5244408201304753,-0.9957465039738613,100.0,0.0,neg,pos
alprenolol-7141,alprenolol-7141,0.845,0.9643592142188961,-0.07906655557133713,100.0,100.0,neg,neg
alprostadil-2938,alprostadil-2938,0.0005,0.014186046511627907,-1.9375768256874069,100.0,0.0,neg,pos
alprostadil-4099,alprostadil-4099,0.0015,0.03532818532818533,-1.7428202929672805,98.73417721518987,1.8181818181818181,neg,pos
alprostadil-4179,alprostadil-4179,0.5395,0.915288279773157,-0.4042827130366927,0.0,0.0,pos,pos
alprostadil-6555,alprostadil-6555,0.8645,0.9704545454545455,-0.06859620728869109,100.0,100.0,neg,neg
alprostadil-6571,alprostadil-6571,0.602,0.915288279773157,0.27375485468329974,98.66666666666667,96.61016949152543,neg,neg
alprostadil-6576,alprostadil-6576,0.955,0.9885457322246732,0.021289553742725287,98.55072463768117,100.0,neg,neg
alprostadil-7358,alprostadil-7358,0.953,0.986810388728569,-0.021704012109074078,98.66666666666667,100.0,neg,neg
alsterpaullone-7051,alsterpaullone-7051,0.019,0.13245714285714286,-1.3232470486839416,98.61111111111111,0.0,neg,pos
alsterpaullone-7056,alsterpaullone-7056,0.612,0.915288279773157,-0.2572511346569194,100.0,100.0,neg,neg
alsterpaullone-7078,alsterpaullone-7078,0.6035,0.915288279773157,-0.2705726917377454,100.0,100.0,neg,neg
altizide-2527,altizide-2527,0.886,0.9732757068251396,-0.054672878434668615,98.36065573770492,98.52941176470588,neg,neg
altizide-4491,altizide-4491,0.208,0.566681554265297,0.9724710071201448,0.0,97.33333333333334,pos,neg
altizide-6089,altizide-6089,0.08,0.32382216323822166,-1.1496533441166685,100.0,0.0,neg,pos
altizide-6829,altizide-6829,0.165,0.48882952889752307,1.0152686072624515,0.0,100.0,pos,neg
altretamine-3090,altretamine-3090,0.3265,0.7639624088991178,-0.8724069455018605,100.0,0.0,neg,pos
altretamine-4627,altretamine-4627,0.845,0.9643592142188961,0.07899044433916769,100.0,96.55172413793103,neg,neg
altretamine-5688,altretamine-5688,0.0365,0.1947944006999125,-1.249262871641602,98.18181818181819,1.7857142857142856,neg,pos
altretamine-6467,altretamine-6467,0.9515,0.986810388728569,0.02326265199441757,0.0,1.5625,pos,pos
alverine-1426,alverine-1426,1.0,1.0,-4.7779127744229655e-06,97.26027397260275,100.0,neg,neg
alverine-2110,alverine-2110,0.6335,0.915288279773157,-0.23021270309277797,100.0,100.0,neg,neg
alverine-2273,alverine-2273,0.7735,0.9446098868374032,0.12139182899042711,0.0,0.0,pos,pos
alverine-6345,alverine-6345,0.58,0.915288279773157,-0.3053767517293312,98.64864864864865,100.0,neg,neg
alvespimycin-1051,alvespimycin-1051,0.0135,0.10557692307692308,-1.3633843908590106,100.0,0.0,neg,pos
alvespimycin-1154,alvespimycin-1154,0.0305,0.17924170616113747,-1.278280467517285,98.73417721518987,0.0,neg,pos
alvespimycin-1213,alvespimycin-1213,0.8525,0.9678485017680998,0.07500603815834395,1.3513513513513513,0.0,pos,pos
alvespimycin-1638,alvespimycin-1638,0.362,0.8215029761904761,-0.8439197957371265,100.0,0.0,neg,pos
alvespimycin-2673,alvespimycin-2673,0.9855,0.9943131096048934,0.005889906142711121,100.0,100.0,neg,neg
alvespimycin-4437,alvespimycin-4437,0.0035,0.048412698412698414,-1.55374919449278,95.38461538461539,0.0,neg,pos
alvespimycin-5210,alvespimycin-5210,0.105,0.3796680497925311,-1.1069229294271126,100.0,1.36986301369863,neg,pos
alvespimycin-5573,alvespimycin-5573,0.0205,0.13592391304347826,-1.3129792923581691,100.0,1.4492753623188406,neg,pos
alvespimycin-6172,alvespimycin-6172,0.8245,0.9560910815939279,0.09014067856735397,100.0,100.0,neg,neg
alvespimycin-6933,alvespimycin-6933,0.5315,0.915288279773157,-0.4220046560602098,100.0,98.57142857142858,neg,neg
alvespimycin-6973,alvespimycin-6973,0.708,0.9346561418685122,-0.16940759180988046,100.0,96.96969696969697,neg,neg
alvespimycin-993,alvespimycin-993,0.0215,0.13661458333333332,-1.3064697442532083,100.0,1.5384615384615385,neg,pos
amantadine-1344,amantadine-1344,0.7055,0.9346561418685122,0.1725161628518388,100.0,100.0,neg,neg
amantadine-3280,amantadine-3280,0.8125,0.9560667438271605,0.09792208511704753,0.0,0.0,pos,pos
amantadine-4222,amantadine-4222,0.3675,0.8290495562130177,0.8394607139699601,0.0,96.36363636363636,pos,neg
amantadine-4806,amantadine-4806,0.7985,0.9523432923257176,-0.10601785052876522,100.0,100.0,neg,neg
ambroxol-1623,ambroxol-1623,0.6835,0.9346561418685122,-0.19517090219022581,0.0,0.0,pos,pos
ambroxol-3238,ambroxol-3238,0.0125,0.1019385026737968,-1.3892164718693474,100.0,1.7241379310344827,neg,pos
ambroxol-5319,ambroxol-5319,0.0815,0.32685733070348455,1.144485612708322,0.0,100.0,pos,neg
ambroxol-6719,ambroxol-6719,0.857,0.9693011647254576,-0.07265432342208733,100.0,100.0,neg,neg
amikacin-1618,amikacin-1618,0.716,0.9377127659574469,0.1649142807077686,100.0,100.0,neg,neg
amikacin-3233,amikacin-3233,0.0065,0.06956140350877192,-1.4586415544891436,100.0,1.4925373134328357,neg,pos
amikacin-5314,amikacin-5314,0.4395,0.915288279773157,0.7550212397247964,1.4285714285714286,100.0,pos,neg
amikacin-6715,amikacin-6715,0.689,0.9346561418685122,-0.1885887112140091,98.48484848484848,100.0,neg,neg
amiloride-1470,amiloride-1470,0.4755,0.915288279773157,-0.7003187334643136,98.64864864864865,100.0,neg,neg
amiloride-1890,amiloride-1890,0.1775,0.5104903347477605,1.0005940380988962,0.0,100.0,pos,neg
