"","coef","pval","se","AIC","BIC","FDR.coef"
"11790",-1.04675623609477,0.230153029729712,0.61362403290087,9.889440825638,7.2757351867579,0.602912800600107
"11792",-0.732891291014862,0.169675212923326,0.347816229141249,7.7480265089553,5.13432087007519,0.574464924265624
"11793",-0.372236010830812,0.31586708475034,0.28061008135054,6.85928848574704,4.24558284686693,0.643728411199016
"11796",1.83379476592411,0.0506076512812706,0.428990547783844,8.61950085392383,6.00579521504372,0.538427619969019
"11797",1.05693429591152,0.0588285717864619,0.268343052428709,8.274397334265,5.66069169538489,0.538427619969019
"11798",1.30348981466153,0.198628056648808,0.687987431933726,10.7981239332022,8.1844182943221,0.58638009930369
"11799",-2.64270672592715,0.191326566388464,1.35934130874708,13.1687461059985,10.5550404671184,0.584090170481597
"11800",0.233643231766463,0.541757334102062,0.320449784743812,7.09113514674113,4.47742950786102,0.771493686064622
"11803",0.436134769785086,0.596191624476626,0.698678277138635,10.4221219702513,7.80841633137118,0.800583738784408
"11804",0.348952647746319,0.375970267951332,0.308972592398605,7.17040230422103,4.55669666534092,0.67705979589528
"11810",1.26951399521929,0.0546338246046642,0.309566472108287,5.84239346263687,3.22868782375676,0.538427619969019
"11812",0.687363026755145,0.674527418565968,1.4120235484301,14.0169493424537,11.4032437035735,0.843095235500038
"11815",7.04903364567053,0.12648217226377,2.77770669505543,16.1011096555513,13.4874040166712,0.551239608782942
"11816",2.9737840459658,0.100426019255793,1.02096011020323,11.9374114767471,9.32370583786702,0.540167912405883
"11819",0.0440234223179401,0.935139833114651,0.478933604495192,8.86491089074628,6.25120525186618,0.973622953818958
"11820",0.904802231736724,0.141303959164655,0.381839239970134,7.82266739130954,5.20896175242943,0.56265274158419
"11821",-1.2940337243693,0.030867855023143,0.232776028908683,6.3265894132356,3.71288377435549,0.538427619969019
"11826",-0.391568362062991,0.818436795163632,1.49963583149382,13.4166760516683,10.8029704127882,0.91879975140231
"11828",0.653815875635702,0.464476791698096,0.729075272379805,10.5789695633375,7.96526392445743,0.724096756760299
