"","coef_T","pval_T","se_T","FDR.coef_T","coef_C","pval_C","se_C","FDR.coef_C"
"270166",0.146034181026952,0.322033233948366,0.142601259998196,0.507783763120814,0.135741862792314,0.737693064107871,0.353109471569167,0.876963095742942
"270192",0.879161301240543,0.0522696019300375,0.417074363985708,0.164562338991547,1.18658693145668,0.379284718795653,1.05981036356476,0.678955841413912
"270210",-0.469419724745996,0.000327936663740947,0.0994330576100702,0.00577639749663651,0.842439845646376,0.247937802435458,0.522055019898899,0.613865833451508
"27029",-0.867796083920746,0.000388144460962651,0.19099526521876,0.00637011098649069,0.102698413505932,0.795309872836392,0.347262352848706,0.90660001595858
"27041",-0.118618134466448,0.556573951424469,0.197246710512746,0.700288308425628,-1.19438076009818,0.0803941708325192,0.360781612867045,0.538427619969019
"27045",0.463982000319012,0.0195076834381542,0.177431497887364,0.0864216940947238,-0.149784329251971,0.665742839990349,0.29863704897113,0.837681804995219
"27049",0.233869690951831,0.0978491543142412,0.132478443217968,0.245937620811659,0.627991788697684,0.10791933964836,0.224933585457795,0.541634832622713
"27050",0.305698620873228,0.000396933085688601,0.0674490102225036,0.00644262866304762,-0.607729713047833,0.281902294239367,0.416471385244331,0.628834993781476
"27053",0.358030624263342,0.0804329994795794,0.190974260466975,0.217153136787282,-1.25661433516097,0.371406644856296,1.09938141281404,0.674488482404123
"27055",-0.50190305164417,0.0437101969403492,0.227908058771209,0.146107459730249,0.902217328206641,0.204036639406499,0.485183369592079,0.591089624296512
"27056",-0.698780339473586,0.00482146285190307,0.211509802265458,0.0345056248843411,-0.67689257521728,0.21571737131132,0.378622605811977,0.595272866397505
"27057",0.0203097538159596,0.935238132503254,0.245790798162411,0.960724783972487,0.179706867450726,0.810882106233656,0.659794011267959,0.915269602786021
"27058",-0.234643536863795,0.0352466808088705,0.10139542121932,0.126825337413981,-0.0495493649511594,0.782823359213179,0.157477559715487,0.899648281161728
"27059",0.566560987112254,0.0159040384853803,0.208517643673127,0.0750564288658833,2.17332033044107,0.175053198012198,1.0529140737159,0.577117069679716
"27060",-0.667401528151011,0.013493839014696,0.238464539390981,0.0672990668472092,-0.0227829198216509,0.939194205195351,0.264450905395686,0.975933424548798
"27061",-0.166298379535259,0.157103902440023,0.11165403512759,0.328819566435656,0.144995498480802,0.486868654737829,0.171496475124828,0.735796156353293
"270624",-0.22255231590287,0.647425852027859,0.476870925733979,0.767917314189617,1.38755364448271,0.131901755094072,0.561036413778947,0.552856573140526
"270802",0.0680877309637305,0.754179035714992,0.213489288353888,0.843708549710313,-0.203168252515438,0.687624854735524,0.436887035920653,0.849284087046419
"27081",-0.854675522697813,0.00612646578373608,0.268187469727466,0.0401412261180431,-0.342945460957177,0.537168725356086,0.464450935382074,0.767933969995368
"27103",0.0969845029058898,0.585124926680266,0.173829680596776,0.722772969688005,-0.646257233911108,0.0832866020968896,0.199169577607132,0.538427619969019
"271457",0.35800341469706,0.0669917516541426,0.18128487229602,0.192831614445902,0.876551088207921,0.258324850263242,0.560551060173574,0.620321312043156
"27176",0.208136293067847,0.00795184381939899,0.0664682119286078,0.0474756477115554,-0.645104561072529,0.234467113047099,0.383380602883934,0.605354030006882
"272027",-0.341682245366336,0.00242088488398822,0.0938789595883587,0.022227615726294,-0.241227870398982,0.442432870704529,0.253958294536391,0.712000491041912
"27205",2.74509628300311,0.000432596877946487,0.611502613285163,0.006793087385592,0.188047242533322,0.851723869573867,0.886856402616624,0.93643094922729
"27206",1.52408321739483,0.0769717924644999,0.802574080886691,0.210890310185141,3.79856411938747,0.0852889297658453,1.18663863784429,0.538427619969019
"27207",0.281572295645394,0.0129049159981524,0.0988724086653416,0.065420754712856,-0.297765132535324,0.359709124710777,0.25259089569393,0.666504352231415
"27214",0.658188176834995,0.00442408058409467,0.196725860125358,0.0325658465031858,-1.75708770781579,0.177085007760796,0.857822777832361,0.577202479830269
"27223",0.27270807732361,0.0267526413516384,0.111061771899313,0.106398457429911,0.325689682012188,0.40542743760346,0.311431724095422,0.690859097936382
"27224",-0.728358029786487,8.29935307883561e-07,0.0907728532826086,0.000125940314112925,-0.527278586807187,0.187438527934277,0.267451301218451,0.581855812549782
"27225",-0.089841394301819,0.674096176991957,0.209472216281132,0.787313610293033,-0.592546372267444,0.0753263258427438,0.172532453323488,0.538427619969019
"27226",1.13209241726525,0.064242635959842,0.566756956951404,0.187625106779671,1.11734573390956,0.334027407964156,0.884995778264073,0.654970028662325
"272322",0.329833400049187,0.547801014197922,0.536353983375266,0.693082178136055,-0.786663590917685,0.660733605324983,1.54233918473455,0.834700975086943
"272347",-0.593522425937174,0.0255339311168367,0.239404862988123,0.1034141486234,0.202503487404783,0.550396207273462,0.284478806589486,0.777245989375633
"272359",-0.296458839279075,0.135452311173111,0.187887729288369,0.300302790623053,-0.395123796139164,0.247016729292754,0.244165854447248,0.613605179200464
"27273",-0.324868280600606,0.590403495010835,0.590649881889743,0.72601788337509,2.08868495178324,0.230989162737974,1.22768381081577,0.602912800600107
"27275",-0.150444099778039,0.605720635746926,0.285328969652958,0.736780404287796,-0.562394932819429,0.301893143270746,0.407862362027546,0.63528131741028
"27279",-1.64566060072227,0.00998522569981078,0.55833548047468,0.0553645433855755,-2.9210723088645,0.0748985976742345,0.847816020911196,0.538427619969019
"27280",-0.97545774530819,0.000955010093602733,0.238180294679785,0.0117043584828316,-0.687195855372852,0.314554701624705,0.51617641056352,0.642582468570839
"27354",-0.549759417924894,0.00317545368677378,0.15674615445827,0.0263710679370531,0.789269584481112,0.486089920997275,0.931604509541089,0.735796156353293
"27355",1.00863774194287,6.14140207884815e-05,0.183493404203886,0.00193801175233372,-0.56860494644668,0.499908487108215,0.696226073360782,0.744100314336073
"27357",-0.586586444613829,0.0129544248197578,0.208086446450343,0.0656049815810796,0.747720545722103,0.212784702692467,0.41418029166924,0.594471911222448
"27359",-0.720734186460386,0.00516236904721764,0.220377775025731,0.0358824211758532,0.383717048226793,0.499247091864763,0.469013113508533,0.743997475338687
"27360",0.76936239206856,0.0265743465247048,0.312893351488774,0.105936360080503,2.23457946394959,0.0175963479804527,0.300398771751805,0.538427619969019
"27361",-0.514864955996191,0.010014535541056,0.174767581187799,0.055394778147774,-0.802762031471827,0.156936508754842,0.362112639863664,0.564448585914089
"27362",-0.588048475756693,0.0356829096496413,0.254810506054532,0.127754573486164,1.36639424134419,0.245259192930305,0.83981248858694,0.612974923341195
"27364",-0.679539575317058,0.0299448844323324,0.283384004813033,0.114346822028541,1.22534326111399,0.259420523106802,0.78617674052836,0.620321312043156
"27366",-0.221046857722788,0.329461834914986,0.219303157170466,0.514870129438467,-0.961148967965433,0.0372147402514618,0.190783215181714,0.538427619969019
"27368",0.359925625544674,0.0988758873360796,0.204567724104286,0.247667262403863,0.547744587205371,0.273951135553628,0.366826195774435,0.626912684812672
"27369",0.357183007593739,0.0102111318153565,0.121638582093209,0.0562250100787335,0.649163962632308,0.0607857977295555,0.167798743921586,0.538427619969019
"27374",-0.0907510475887257,0.743751206717701,0.272534680093909,0.836844793443116,-1.95097282400145,0.00960661272749525,0.192611889605128,0.538427619969019
"27376",-0.276265101818107,0.0472515138891268,0.127823834940662,0.154089977195638,-0.88056653612983,0.0606488694452817,0.227331069699612,0.538427619969019
"27377",0.0317003831658346,0.867812257409833,0.18722891619129,0.917603895573358,0.752944364689066,0.552120208013507,1.0628439295039,0.778259223489272
"27387",0.0803100910926464,0.90166526017849,0.639076415821174,0.939849593826781,-0.0503971972826519,0.8953383721926,0.338619633295731,0.955903302876467
"27388",0.88154432645038,0.000360043580182502,0.192419201646041,0.00608827418956075,0.502315559006615,0.321795645486068,0.384869558817965,0.647433851578169
"27395",0.263360140370576,0.0619726241988135,0.130577023767121,0.1832846484457,-0.800082477026007,0.0979234190510925,0.270665957368007,0.539834092638245
"27397",-0.00173073726615852,0.99314313865486,0.19806467957471,0.995668083310502,-0.572450036910858,0.0443065133314064,0.124677517367479,0.538427619969019
"27398",0.376363022120121,0.00224337817473325,0.102362623609916,0.0210220127644854,-0.413712843965766,0.501117160486611,0.508204986605212,0.744671574952431
"27399",0.432685901914133,0.0721728543236068,0.223694879516544,0.202385404567595,0.424380546938294,0.419068546639698,0.420450266614248,0.698004356195384
"27401",0.277688806436454,0.242434104872128,0.228189141249967,0.427279045979436,-1.32247486836956,0.179468298395007,0.65143345807851,0.577578575210572
