"","Reprogramming","Interventions.Median_lifespan","Interventions.Max_lifespan","Interventions.CR","Interventions.GH_deficiency","Interventions.Rapamycin","Interventions.Common_liver","Aging.Brain","Aging.Muscle","Aging.Liver","Aging.All","Aging.Human","Aging.Rat","Aging.Mouse"
"67788",-0.0588475034309319,-0.268154564125252,-0.24157102731429,0.178375582510739,-0.569733624409499,0.304483090049201,-0.0453727538887402,-0.0108566774269351,0.00958557350785109,-0.115299162415484,-0.00996295323044117,-0.0535335308370806,0.106352135880532,-0.00952789927291685
"67789",0.27843183321719,0.031173902260369,0.0778013250054387,-0.156377754840286,-0.00865774127912569,-0.182756969321878,-0.149833628372883,-0.0511671327091444,-0.0152637556465958,-0.149328592583993,-0.108855325941374,-0.4823074326766,-0.0125418640880703,-0.119686763944538
"67797",0.333239048787227,0.0752283509688005,0.174472200637542,-0.0763713746957369,0.304181810110004,0.0320511235418776,0.056787711175104,-0.0196050984510974,-0.00820563784516572,-0.341633036029246,-0.010105422147018,0.245864586846755,-0.155202646311177,-0.0613122879039665
"67800",-0.347303943950884,0.138751002623694,0.0998904282822612,0.153758601283945,0.34615547219548,-0.322451518890471,0.0359069377567551,-0.0332142445198816,0.000649729836960003,0.107409615203105,-0.0447961503843266,-0.174265512577511,-0.391300580140907,-0.0457301217593185
"67803",-0.220719605847861,-0.043124655291457,-0.128817177844113,0.0327869844008228,0.661836204356584,-0.273113493561914,0.223922213696965,0.0153136967282573,0.0104439977753967,0.370648910819192,0.0434637042261648,0.0951748031070734,0.261435635312735,-0.0127317537974042
"67804",0.0565739666616799,0.198970715364892,0.208348576615336,0.245711279753786,0.501224310942315,0.0126563772310245,0.249494897742518,-0.0582008307778488,-0.018282261976859,0.0935622168087002,0.000814871129056838,-0.471510955274844,0.0267536254588856,0.0340715306892421
"67811",0.159061758943066,0.127258353628358,0.148160241343619,0.29328372774811,0.22929375116722,-0.0814780069942104,0.172076245450196,-0.00675975667305683,-0.0180509808200005,0.00313142175283017,-0.0442304121952134,-0.441348614480221,-0.00197853020742305,0.000439286092455604
"67812",-0.480211044733164,-0.0257105338605862,-0.0244459990441999,-1.00442530688683,-0.242787209209476,0.370786557861873,-0.103788412234501,0.0309815142298185,0.0255773330323148,-0.143756323034394,0.0217761020454851,0.106967657653523,0.0568823810546681,-0.0151650286519025
"67815",0.38528355642927,0.0542271505828992,-0.0823400617125471,-0.484515429231602,-0.0331369361554817,-0.3805421456397,-0.131496585645934,0.0547271161590741,-0.0393045648018457,-0.153431426935263,0.019192688393073,0.685318660761579,0.0234614027966707,-0.00981537371266767
"67819",-0.328599838421655,-0.0717545050160039,-0.0990096628543029,-0.100334009738813,-0.183400427559937,-0.0739839568255253,-0.144851875215251,0.00848488746920291,0.125153956827149,0.112666362220737,0.0590475386101438,0.560965991587747,0.181470319016174,0.0375921368927107
"67832",0.170549450264667,-0.0270919211676184,0.0471134344039044,0.422846231242201,-0.0895527498958019,1.54071635140381,0.00166482150114014,-0.0417328710421758,0.0308006749975922,-0.26913468363329,-0.0119211243925755,-0.247489590253291,0.0426098716931386,-0.0316863221351703
"67834",-0.385345987537176,0.0484431891564588,0.061293188656643,0.4869864424146,0.211650968456739,-0.891306223209701,0.0803663241473968,-0.0516739291076375,-0.104224700709078,-0.120654446875569,-0.071952467455324,-1.24647717545385,-0.183919233809879,-0.0261032421038537
"67836",-0.0544504020356382,0.0156721253663958,0.0389671279767979,0.257766424271403,0.0255835135564908,0.0656416989423834,0.042062266180337,-0.0700504116603873,-0.00533056248113773,-0.167223841787006,-0.0112456392499561,0.137561130207532,-0.302459631836946,-0.0206499368620146
"67838",-0.489330956097839,-0.220176046281182,-0.0336436095620504,-0.828211480755635,-1.34334518530508,0.305436671181804,-0.53124357091939,-0.141507558879761,-0.00378005483809106,-0.316677766796623,-0.0361086896616728,-0.640415919709474,-0.114505255635535,-0.0328022753595215
"67842",-0.366365443167167,-0.0849124926739476,-0.0086727168264766,0.113388374357276,-0.526061750818932,0.00845627780812793,-0.243585258413006,-0.0161917139933631,0.0194517331972996,-0.132513344355981,-0.0038002551560192,-0.0959303482820542,-0.0435854168813584,-0.00384619190557537
"67843",-0.573395262872272,-0.0952214603491463,-0.0506583269353085,-0.0761059439202253,0.0294291928104895,-0.197935114193795,0.0842321634822711,0.050123567993997,-0.0234458881999647,-0.0620847447499584,0.0187989775625343,0.379110064272796,-0.124941753709485,-0.00175037901966428
"67845",0.282930842799033,0.00903146050555429,0.00875295099484433,0.00854302430133079,0.0204267913314502,-0.0137125371203655,-0.0275807078072855,-0.00461390980645753,0.087040943632601,-0.0447866804251237,0.0533840706099783,0.634648159233653,0.108644672298463,-0.0100166446821664
"67846",0.524548665353338,-0.455029042275947,-0.493388951463284,-0.147917820881603,-0.625842761645538,0.863318658429913,-0.0312206492392895,-0.00653307066216627,-0.0460950125718507,-0.0300730088922502,-0.0089110141692061,0.134038959218989,-0.197468676296163,-0.0364587992326127
"67857",-0.295635469276018,0.0597023835134155,0.115576224281704,-0.145086970557525,0.109054880975168,0.21664367242729,0.00515031388177221,-0.0290344938326675,0.000114263514723125,-0.0813098166868699,-0.0155379856188504,-0.15831137939225,-0.0479973432120182,-0.0175880410909161
"67860",-0.1579750009438,0.0617352362737369,0.120202752184526,0.253047258428265,0.243068926294142,0.314850557322413,0.154874998472851,0.155969474752679,-0.156015650645741,0.0563884076090539,0.00374922191192177,-0.425420711410116,-0.053681158735346,0.0168493654777449
"67863",0.025491329951949,0.363516201277817,0.419966956173758,0.522709318526603,0.593842640577322,-0.143409669189462,0.323277509508829,-0.0414797895821661,-0.0979831353623931,-0.0887695805746785,-0.107351235539371,-1.28618850833496,-0.0891164329934707,-0.0404823791168313
"67865",-0.887041116728423,-0.0226930156088129,-0.123088616900197,-0.0423019338095469,0.55900646405956,-1.24318205809608,0.0314587449063667,-0.00510512187673294,0.0945201159023452,0.578939801940325,0.109876266845774,0.195339966400571,0.585568732605659,0.124616378665207
"67869",0.723592920754444,0.187736297885408,0.272302732758873,0.464210845379355,0.124451459050953,-0.447689376680242,0.153898811015117,-0.0575361595359063,0.0258418154061244,-0.213030379476384,-0.0871256124931187,-0.493513571716051,0.0143344375147461,-0.0725024533650393
"67870",-0.15928112488078,0.210765834770916,0.130677984948025,0.565680677224026,0.848723945514999,-0.367375645070511,0.428356729044758,-0.0799469915021194,-0.0111755181780127,-0.00274901297117331,-0.0717564683779884,-1.05929120767334,0.0334036007514484,-0.0188817694037405
"67871",-0.319218926069771,-0.117304897477335,-0.0945822991689043,-0.187317724565536,-0.188065124670987,0.199909185866471,-0.0186966315511665,0.00846392240533077,-0.0253113432208211,-0.368918250144594,-0.0526375535668324,-0.0936856934949337,-0.0730512886859193,-0.0861031357935199
"67887",-0.198907153895041,0.0647752127360516,0.0444574929276756,0.0291721995278085,0.073909370022845,0.092411705181403,-0.0307162115751022,-0.0521646303225562,0.0425667043645272,-0.0253217922228049,0.00574965378028979,-0.721330168895122,0.0898709024210693,0.00849505158274692
"67889",-0.288419471914406,0.0802660027375396,0.203126315977455,0.204514148397858,-0.146573125969369,0.19327030627585,-0.117187639816134,-0.110261594805349,0.00681605933184582,-0.266484161213926,-0.0870261721801069,-0.949898528013262,-0.129073166227876,-0.0468076932762885
"67890",-0.620896524462017,-0.0415189971429926,-0.0308462384635601,-0.270308237517521,-0.267023232471752,0.33554504615314,-0.0619673242826613,-0.102187729182498,0.0116820503585632,-0.10983345829501,-0.0218093930506943,-0.363678747243365,-0.127733313673372,0.00340111637823415
"67894",-0.601702420479179,0.049377102706998,0.0402856504750455,-0.236218097026388,0.365325566381482,-0.390431004807765,-0.181050417789555,-0.00193837898603843,-0.0154630469313855,0.0285536735835138,-0.0139169665558309,0.152950952008622,0.0361746938908998,-0.00219445858221439
"67896",-1.7428606798176,0.0510791562811919,-0.042805429264821,0.110261548567504,0.279759103464751,-0.666530141161024,0.120731168483901,-0.00630310342089105,-0.135400171948778,-0.157317373433412,0.0206276390729985,-0.0815082678952349,0.0840368598362952,-0.00136366097850525
"67897",0.261654364770736,-0.122096699599699,-0.18696602546138,-0.472265693013977,-0.344350154958943,-0.00726779618916839,-0.111376519846907,-0.0260536620584833,0.0349822208047125,-0.225111134526353,-0.0205719468632249,0.112900726970384,-0.0877414925304418,-0.0564938667212264
"67898",-0.342551016282874,-0.096635004595144,-0.0628297897068619,-0.374206025911849,0.197360697168941,0.27925090357155,0.115966115006089,0.00109906993122808,0.0345025501292237,0.0379207337351848,0.00305119016088421,-0.0822360046173722,0.0542701969796668,-0.0205241991963011
"67903",0.120103484562131,-0.0671194895839627,-0.0502642004193966,-0.147393519550395,-0.0735477749234526,-0.110106244769792,-0.0475411913075667,0.0301707442006348,0.00420509891685469,0.0127780359099941,0.0283637695365387,0.426062391990225,-0.065180192113745,-0.00561292657319572
"67916",0.201557171942297,-0.0455503800590633,-0.16083219212005,-0.465206424722141,-0.120063788628424,-0.527666344380979,-0.0826612366972286,0.127447553967322,-0.0525089177471674,0.20869154133732,0.0349663423775234,1.69105685891347,-0.11855776598224,0.0504476711629912
"67920",-0.408427530505517,0.197156916013685,0.396768709197542,0.429072030872687,-0.20827994796884,0.352831750860311,0.0456872601379206,-0.0526243415848242,-0.00324553610623104,-0.162861920152609,-0.0667739313988271,-0.84205665493672,0.00138551607933286,-0.0408025696764156
"67921",-0.618365517102301,-0.122339411836276,-0.0824532957497187,0.259323850821732,-0.328387157515036,0.752197463535993,0.0514450282688911,-0.0648903328258084,-0.0664640477869028,-0.127605656956137,-0.0540304319133892,-0.707623756905319,-0.113792246524475,-0.0621955484161843
"67923",-0.142881311614464,-0.0184113284120889,0.0385251355549693,-0.213914106754437,-0.0834394705738425,0.96704289758392,-0.0186232574171346,-0.165319605318161,-0.0196303029126257,-0.180123043369135,-0.121709532011598,-1.51866251548213,-0.115550549279278,-0.0271590081197068
"67936",-0.139264218676316,0.040987774282306,0.0705997471461804,0.181556251032964,0.00702376284197754,-0.0327527982504646,0.0454908354501794,-0.0282852110448614,0.017996096593997,-0.0536269058431591,-0.00426828811994032,-0.178166794731118,0.13606261288855,-0.0275809586794593
"67946",0.247847215125597,0.116894140727484,0.0644484443048127,0.350909167463325,0.203233071829272,0.456373750635363,0.116174411627883,0.068588888453212,-0.0877284352390386,-0.056039780501852,-0.0319136824779011,-0.259731229336584,-0.211832703909054,0.0266419439399431
"67948",-0.19337801840044,0.0270312587127643,0.0845708134503142,0.0227120706341174,-0.0211899504695921,0.0142085449991223,-0.0760554514398738,-0.0341445958703263,0.015742040143781,-0.182567485447618,-0.0368694632683943,-0.373013674309906,-0.0851289039061569,-0.00985741378396491
"67949",-0.339717106432635,-0.00862393642828117,0.0286997980076265,-0.613815562771912,-0.149760059837406,0.298015869677058,-0.100843010372503,-0.0672412631004816,-0.0446188809754352,-0.2709076517535,-0.0605737334824588,-0.789853630062658,-0.0593375460679152,-0.0922742830947528
"67951",-1.40962871291229,-0.0229797157453806,-0.230913369918143,-0.205545911082328,0.57517859619389,-0.716888650499489,0.181877118592241,0.128135294487439,0.226781309857709,0.433417071807446,0.171820063991064,1.02258398139376,0.377911654540756,0.0818509424960791
"67958",0.426722019812747,0.132736812099323,0.136475389181574,0.0402668617022694,0.00109556595700654,-0.435740533429388,-0.00144627681787944,-0.0131668382422607,0.0684071771562316,-0.0728979128976436,0.00520469756373703,0.540986524204899,-0.0961378052663701,0.000402303729010122
"67963",-0.288155225921452,0.168628097480796,0.162445526674548,0.373366434963267,0.35630386859296,-0.273749271887714,0.182230033672434,0.41566069226152,0.0405131151591012,0.603803338681921,0.157584284849411,2.10251879275333,0.692860099717982,0.0615319346763662
"67973",-0.14961860441914,0.0180003745447431,0.114796314283418,0.192738340320288,0.303266111828622,0.63406604255874,0.230261253310912,-0.0267476136193253,0.0849305508159947,-0.107496246497383,0.0186479521779086,0.534615096611777,-0.0959542999438194,-0.0198683253198857
